OBJECTID,SITE_ID,NAME,ADDRESS,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,NUMPLOTS,DATE_ESTAB,SE_ANNO_CAD_DATA,SIZE_SQFT,IN_ROW,LOCATION,AFFILIATION,AFFILIATION_URL,x,y
1,46,Beacon Bluff,1701 15th Ave S,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/beacon-bluff,14,2002,System.Byte[],1500,Yes,S Massachusetts St / 15th Ave S,,,1275017.39442241,218175.535187468
2,37,Haller Lake,13045 1st Ave NE,Church,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/haller-lake,52,1998,System.Byte[],12500,No,N 130th St / 1st Ave NE,,,1272247.87429158,267694.781062171
3,75,Unpaving Paradise,200 Summit Ave E,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/unpaving-paradise,31,2010,System.Byte[],4600,No,E John St / Summit Ave E,,,1272559.82315589,229653.987743214
4,28,Queen Anne,217 Lynn St,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/queen-anne,73,1994,System.Byte[],15000,Yes,3rd Ave N / Lynn St,,,1265968.98481315,236723.086502463
5,83,Greenwood Station,8815 Fremont Ave N,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/greenwood-station,34,2012,System.Byte[],5500,No,Fremont Ave N / N 89th St,,,1266882.10839808,256584.927866802
6,34,Thomas Street Gardens,1010 E Thomas St,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thomas-street-gardens,28,1997,System.Byte[],3200,No,E Thomas St / 10th Ave E,,,1273962.92747733,230151.74051173
7,32,Fremont,3935 Woodland Park Ave N,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/fremont,28,1995,System.Byte[],4270,No,N 40th St / Woodland Park Ave N,,,1267876.0350551,242637.246252522
8,14,Snoqualmie,4549 13th Ave S,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/snoqualmie,25,1974,System.Byte[],18000,No,13th Ave S / S Snoqualmie St,,,1274263.51570164,208546.885961607
9,80,Magnolia Manor Park,3500 28th Ave W,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/magnolia-manor-park,46,2013,System.Byte[],15600,No,W Bertona St / 26th Ave W,,,1256559.26525152,241300.726059154
10,13,Colman Park,1716 32nd Ave S,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/colman-park,40,1974,System.Byte[],14000,No,32nd Ave S / S Massachusetts St,,,1280581.80396411,217473.499794751
