name,address,managed_by,public,habitat_type,description,city,state,zip,latitude,longitude
Rogers Playfield,,Metro Parks Tacoma,True,CommunityGarden,Dometop Community Garden,Tacoma,WA,,47.2334137326405,-122.415096090066996
Swan Creek Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.2186938251768,-122.396555987937006
Proctor Community Garden,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.267632979690603,-122.489589789600998
Franklin Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.246012774984798,-122.480478522542001
Kandle Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.269172759916003,-122.508312440658997
McCarver Park,,Metro Parks Tacoma,True,CommunityGarden,Bamford Family Community Garden,Tacoma,WA,,47.239479117808102,-122.446997969861002
McCarver Park,,Metro Parks Tacoma,True,CommunityGarden,The Russell Family Foundation Community Garden,Tacoma,WA,,47.240208992757601,-122.446654607376004
Neighbors Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.255501823746499,-122.449789788602999
Neighbors Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.2554582375896,-122.450158132029998
Neighbors Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.255735346051097,-122.449827170009996
Charlotte's Blueberry Park,,Metro Parks Tacoma,True,CommunityGarden,NONE,Tacoma,WA,,47.1897107193235,-122.428286830442005
