SITE_NAME,PrimaryAddress,Acres,ParkSiteID,latitude,longitude
Crossroads Park & Community Center,16000 NE 10th St,34.441,1,47.61994710658185,-122.12605064956698
Ivanhoe Park,16600 Northup Way,2.463,2,47.62375957862639,-122.11808788571042
Georgia Zumdieck Park,1500 108th Avenue NE,4.094,3,47.624123327617106,-122.19472065344907
Commissioners Waterway,1669 148th Ave NE,0.598,4,47.62617880071384,-122.14376524603496
Tam O'Shanter Park,1655 173rd Ave NE,14.316,5,47.625426385815864,-122.10554378444037
Highland Park and Community Center,14224 Bel-Red Road,11.776,6,47.626015407163536,-122.15202841215977
Chapin Property,1910 Bellevue Way NE,4.288,7,47.62781104387717,-122.20022885604261
Viewpoint Park,13431 NE 24th St,13.492,8,47.63092121596652,-122.16157056398721
Hidden Valley Sports Park,1903 112th Ave NE,17.171,9,47.628139210424365,-122.19295056218016
Northwest Arts Center,9825 NE 24th St,2.398,10,47.63153963059291,-122.20836527335001
Cherry Crest Mini Park,2532 127th Ave NE,1.284,11,47.632959078648426,-122.17004711538587
Northtowne Neighborhood Park,2800 104th Avenue NE,0.793,12,47.63537869492238,-122.20077282379391
Hillaire Park,15803 NE 6th St,4.205,13,47.614702608165224,-122.1288012598052
Clyde Beach Park,2  92nd Ave NE,2.061,14,47.61468715413846,-122.21752855786615
Bellevue Aquatic Center,601 143rd Ave NE,1.287,15,47.61579191143751,-122.15000721973163
Crossroads Pump Station,16023 NE 8th St,2.572,16,47.61648207893754,-122.12566457004867
Goddard Park,715 100th Ave NE,0.688,17,47.61653881571822,-122.20745626123848
Kindering Center,13300 SE 57th St,0.689,18,47.61799117092804,-122.12531507754633
Highland-Glendale Property,820 134th Ave NE,4.235,19,47.61774176667013,-122.16046392613465
Keeney Park,17203 Northup Way,2.157,20,47.61928231709855,-122.11062730054032
Bel-Red Mini Park,12300 Bel-Red Road,0.322,21,47.61969469771741,-122.17579746405463
Ashwood Playfield,10820 NE 10th Street,2.837,22,47.62024431591612,-122.1951751714281
Ivanhoe Sportsfield,16661 Northup Way,9.891,23,47.62145499416691,-122.11753503886254
Wildwood Park,260 101st Ave SE,2.313,24,47.608543002044605,-122.20475186967448
McDowell House,11660 Main St,0.592,25,47.61021282517673,-122.18301932563378
