name,address,managed_by,public,habitat_type,description,city,state,zip,latitude,longitude
Pioneer Way Property,4121 Pioneer Way E,Port of Tacoma,True,MitigationSite;Designation3,To be determined,Tacoma,WA,,47.220115953807394,-122.37409087825323
Gog-Le-Hi-Te III,1402 Lincoln Ave,Port of Tacoma,True,MitigationSite;Designation3,To be determined,Tacoma,WA,,47.248857299248854,-122.40960790319619
Place of Circling Waters,1621 Marine View Dr,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.25911432256138,-122.35307318139206
Milwaukee Habitat Area,1002 Milwaukee Way,Port of Tacoma,True,MitigationSite;Designation1;SuperfundAdjacent,Commencement Bay Nearshore/Tideflats Superfund Site; Sitcum Waterway Problem Area - Consent Decree C93-5462 (October 93).  Rqmts stem from CDF constructed in Milwaukee Waterway (PORT PARCEL 41).,Tacoma,WA,,47.26998009306224,-122.42366909790603
Slip 5,1101 Port of Tacoma Rd,Port of Tacoma,True,MitigationSite;Designation1;SuperfundAdjacent,RD/RA Consent Decree Mouth Of Hylebos Waterway Problem Area Commencement Bay Nearshore/Tideflats Superfund Site - Consent Decree C05-5103 FDB (Feb. 05). Rqmts stem from Slip 1 CDF for Hylebos sedmts.,Tacoma,WA,,47.2762047597718,-122.41641719142794
Gog-Le-Hi-Te I,1402 Lincoln Ave,Port of Tacoma,True,MitigationSite;Designation1;Wetland,Lincoln Avenue Wetlands (gog-le-he-te) - Consent Decree C84-130 (March 84),Tacoma,WA,,47.24993477334301,-122.41165096119138
Gog-Le-Hi-Te II,XXX SR 509 S,Port of Tacoma,True,MitigationSite;Designation1;Wetland,Lincoln Avenue Wetlands (gog-le-he-te) - Consent Decree C84-130 (March 84),Tacoma,WA,,47.24738889473914,-122.40791399134392
Fairliner,1101 Port of Tacoma Rd,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.26984363010096,-122.40298839705824
Inner Hylebos,2750 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Port built Tribe owned,Tacoma,WA,,47.27897286696897,-122.39626651395456
Gog-Le-Hi-Te I (Appendix),1402 Lincoln Ave,Port of Tacoma,True,MitigationSite;Designation1;Wetland,Lincoln Avenue Wetlands (gog-le-he-te) - Consent Decree C84-130 (March 84),Tacoma,WA,,47.25076629114189,-122.41073036533504
Clear Creek Phase I,3602 River Rd E,Port of Tacoma,True,MitigationSite;Designation1;SuperfundAdjacent,Commencement Bay Nearshore/Tideflats Superfund Site; Sitcum Waterway Problem Area - Consent Decree C93-5462 (October 93).  Rqmts stem from CDF constructed in Milwaukee Waterway (PORT PARCEL 41).,Tacoma,WA,,47.23488459173364,-122.39464371454201
Clear Creek Phase II,3602 River Rd E,Port of Tacoma,True,MitigationSite;Designation1;SuperfundAdjacent,Commencement Bay Nearshore/Tideflats Superfund Site; Sitcum Waterway Problem Area - Consent Decree C93-5462 (October 93).  Rqmts stem from CDF constructed in Milwaukee Waterway (PORT PARCEL 41).,Tacoma,WA,,47.23247269490662,-122.3933811930398
APM Seaplane Ramp,XXX Milwaukee Way,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.270358681189414,-122.42105196236321
Parcel 120, ,Port of Tacoma,True,MitigationSite;Designation3,Drawn from tax parcels,Tacoma,WA,,47.278698550026796,-122.385624736927
Dick Gilmur Public Access,4700 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.2925853347989,-122.41184908847103
Parcel 12,SR-509 & 54th Avenue,Port of Tacoma,True,MitigationSite;Designation3,Drawn from tax parcels,Tacoma,WA,,47.25505033044359,-122.35978254156109
Storey Pit,XXX Marine View Dr,Port of Tacoma,True,MitigationSite;Designation3, ,Tacoma,WA,,47.2778791449596,-122.37912244104615
Parcel 88 North,1621 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation3,To be determined,Tacoma,WA,,47.262063262766695,-122.35299550543009
Outer Hylebos,4222 marine View Dr,Port of Tacoma,True,MitigationSite;Designation1,Port built Tribe owned,Tacoma,WA,,47.2860973194672,-122.40736503336852
Lower Wapato Creek,XXX SR 509 N,Port of Tacoma,True,MitigationSite;Designation2,To be determined,Tacoma,WA,,47.24731311738054,-122.36966231549152
NRDA Trustees Mowitch Site,1602 Marine View Dr,Port of Tacoma,True,MitigationSite;Designation1,edit shape boundary to be next to lease boundary when lease layer is finished - also in NRDA layer,Tacoma,WA,,47.26010392232497,-122.35879483523696
Rhone-Poulenc*,1747 Port of Tacoma Rd,Port of Tacoma,True,Designation1,Port maintains site; OWNED BY CITY OF TACOMA,Tacoma,WA,,47.26523825989982,-122.39596572346824
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.261901086609235,-122.35639764567783
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.26139000640772,-122.35612960778022
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.25982874880535,-122.35590794349156
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.26017955886983,-122.35574661700875
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.25800326185842,-122.35268631886784
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.2579709198021,-122.3527126206533
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,Parsons Mitigation,Tacoma,WA,,47.25922800165924,-122.35265050284258
Place of Circling Waters,1635 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1,LAGS Mitigation,Tacoma,WA,,47.25917713689964,-122.35501204070806
Sound Refining Cove,2750 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.27788093592639,-122.39027431272257
Sound Refining Cove,2750 Marine View Drive,Port of Tacoma,True,MitigationSite;Designation3,boundary estimated from hand-drawn map,Tacoma,WA,,47.27840966604821,-122.39045152674949
Alexander Avenue Wetland, ,Port of Tacoma,True,MitigationSite;Designation6, ,Tacoma,WA,,47.258276951603996,-122.3736910551011
Upper Clear Creek,3714 Gay Road,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.2276763651071,-122.37913339971611
Upper Clear Creek,4014 Gay Rd,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.22647930083775,-122.38084125834965
Upper Clear Creek,4014 Gay Rd,Port of Tacoma,True,MitigationSite;Designation1, ,Tacoma,WA,,47.22417413867229,-122.38020627945914
Wheeler Osgood, ,Port of Tacoma,True,Designation3,field verify,Tacoma,WA,,47.25151362326259,-122.42959297440076
Julia's Gulch, ,Port of Tacoma,True,Designation1, ,Tacoma,WA,,47.27435902062373,-122.3676722659724
